miRNA;mRNA;mRNA
miR-99a;Mab21l3;Mab21l3
miR-99a;Gba2;Gba2
miR-98;Gas2l1;Gas2l1
miR-98;Fcgr4;Fcgr4
miR-98;Fam199x;Fam199x
miR-98;Fam63b;Fam63b
miR-98;Fgd4;Fgd4
miR-98;Tbc1d22a;Tbc1d22a
miR-98;Bend7;Bend7
miR-98;Rad54l;Rad54l
miR-98;Xpnpep2;Xpnpep2
miR-98;Nr2f2;Nr2f2
miR-98;Zfp91;Zfp91
miR-9;Leng1;Leng1
miR-9;Abhd5;Abhd5
miR-9;Cxxc5;Cxxc5
miR-96;Phf7;Phf7
miR-9;Pnpla2;Pnpla2
miR-96;Tmem186;Tmem186
miR-96;Zfp780b;Zfp780b
miR-96;Gtdc1;Gtdc1
miR-96;Prrc2c;Prrc2c
miR-96;Wdr52;Wdr52
miR-96;Ptgdr;Ptgdr
miR-96;Gbp4;Gbp4
miR-96;Prdm11;Prdm11
miR-93;Pan3;Pan3
miR-93;Arhgap17;Arhgap17
miR-93;Tbc1d8;Tbc1d8
miR-93;Fndc5;Fndc5
miR-93;Bend3;Bend3
miR-93;Cspg5;Cspg5
miR-93;Zfp664;Zfp664
miR-93;Rerg;Rerg
miR-93;Tal1;Tal1
miR-93;Phldb2;Phldb2
miR-93;Nhlh2;Nhlh2
miR-93;Ncoa1;Ncoa1
miR-93;Lrrn1;Lrrn1
miR-93;Ifrd2;Ifrd2
miR-93;Grn;Grn
miR-93;Gnao1;Gnao1
miR-93;Zfp36l2;Zfp36l2
miR-93;Rtn1;Rtn1
miR-92b;AU015228;AU015228
miR-92b;Ifltd1;Ifltd1
miR-92b;Rhox2h;Rhox2h
miR-92b;Kif14;Kif14
miR-92b;Heca;Heca
miR-92b;Ankrd43;Ankrd43
miR-92b;Dlgap1;Dlgap1
miR-92b;Aph1b;Aph1b
miR-92b;Bach2;Bach2
miR-92b;Prex2;Prex2
miR-92a;Slc24a2;Slc24a2
miR-92a;Ifltd1;Ifltd1
miR-92a;Fastkd3;Fastkd3
miR-92a;Rhox2h;Rhox2h
miR-92a;Sez6l;Sez6l
miR-92a;Kif14;Kif14
miR-92a;Ankrd43;Ankrd43
miR-92a;4632411B12Rik;4632411B12Rik
miR-92a;Dlgap1;Dlgap1
miR-92a;Aph1b;Aph1b
miR-92a;Pam;Pam
miR-92a;Nf1;Nf1
miR-92a;Kif3a;Kif3a
miR-92a;Hspa2;Hspa2
miR-92a;Bach2;Bach2
miR-92a;Prex2;Prex2
miR-9;Trim26;Trim26
miR-9;Ipo9;Ipo9
miR-9;Clint1;Clint1
miR-9;Satb2;Satb2
miR-883b-5p;Tcfcp2l1;Tcfcp2l1
miR-883b-5p;1600029D21Rik;1600029D21Rik
miR-883b-5p;Lin28b;Lin28b
miR-883b-5p;Psg16;Psg16
miR-883b-5p;C1ql3;C1ql3
miR-883b-5p;Hlf;Hlf
miR-883b-5p;Kctd12b;Kctd12b
miR-883b-5p;Nras;Nras
miR-883b-5p;Nid1;Nid1
miR-883b-3p;Stxbp5;Stxbp5
miR-883b-3p;Dcaf7;Dcaf7
miR-883b-3p;Lrch3;Lrch3
miR-883b-3p;Fam23a;Fam23a
miR-883b-3p;Lgals8;Lgals8
miR-883b-3p;Elovl2;Elovl2
miR-883b-3p;Usp9x;Usp9x
miR-883b-3p;Orc2;Orc2
miR-883b-3p;Kifap3;Kifap3
miR-883a-5p;8430427H17Rik;8430427H17Rik
miR-883a-5p;Fem1b;Fem1b
miR-883a-3p;Bri3bp;Bri3bp
miR-883a-3p;Smurf1;Smurf1
miR-883a-3p;Ubash3b;Ubash3b
miR-883a-3p;Usp46;Usp46
miR-883a-3p;Fgfr1op2;Fgfr1op2
